商品品类,出现频次,支持度
菜籽调和油,24,0.0001
冷冻海鲜水饺,24,0.0001
其他健康饼干,24,0.0001
冷藏其他主食类,24,0.0001
室外游戏,23,0.0001
消毒凝胶,23,0.0001
医用酒精,23,0.0001
冷冻丸/棒类,22,0.0001
毛巾被/毯子,22,0.0001
特殊配制奶粉,22,0.0001
婴幼儿葡萄糖,22,0.0001
办公用纸,21,0.0001
姜汁,21,0.0001
袋泡茶,21,0.0001
粗粮饼干,21,0.0001
冷冻匹萨,20,0.0001
含盐黄油,20,0.0001
布丁,20,0.0001
男士手套,18,0.0001
烧烤汁,18,0.0001
化妆镜/包/盒,18,0.0001
方糖,18,0.0001
橄榄调和油,17,0.0001
免洗洗手液,17,0.0001
餐纸盒罩,17,0.0001
汽车清洁保养品,17,0.0001
动物黄油,17,0.0001
奶油口味威化饼干,17,0.0001
功能其他调味汁,17,0.0001
杨梅罐头,17,0.0001
深海鱼油调和油,16,0.0001
糯米醋,16,0.0001
其他冲调糖,16,0.0001
整理袋,16,0.0001
西柚汁饮料,16,0.0001
其他冷藏肉制品,16,0.0001
葵花籽调和油,16,0.0001
压力锅,16,0.0001
羊奶粉,15,0.0001
冷冻南瓜饼/麻仔/糯米兹,15,0.0001
料理机/搅拌机,15,0.0001
家居皮革护理,15,0.0001
香菇类,15,0.0001
铝箔系列,14,0.0001
巧克力酱,14,0.0001
其他调鲜品,13,0.0001
消化系统用药,13,0.0001
发膜,13,0.0001
婴童洗发液,13,0.0001
牛肉及部件类,13,0.0001
其他运动/机能饮料,13,0.0001
电动工具,13,0.0001
小米,13,0.0001
玻璃水,13,0.0001
女士面膜,13,0.0001
枣粉/栆羹,13,0.0001
加料豆奶,13,0.0001
婴童洗衣用品,13,0.0001
原味益生菌饮料,13,0.0001
荔枝罐头,12,0.0001
桌椅脚套,12,0.0001
卫生间配件,12,0.0001
童袜,12,0.0001
洗发护发礼盒,12,0.0001
其他碳酸饮料,11,0.0001
被套,11,0.0001
花生豆奶,11,0.0001
雨具,11,0.0001
冷冻羊肉,11,0.0001
糯米,11,0.0001
国产其他婴幼儿功能性奶粉,10,0.0
婴童浴露,10,0.0
啫喱膏,10,0.0
手摇玩具,10,0.0
无糖饼干,10,0.0
奶精,10,0.0
功能醋,10,0.0
其他调味油,10,0.0
男雨鞋,9,0.0
其他冷冻火锅食品,9,0.0
烤麸罐头,9,0.0
加馅蛋糕,9,0.0
